id,number,artist,title,genre,year,artwork_path
244,B 31 a,"Beatles, the","Ob-la-di, ob-la-da",Disco,1969,
245,B 31 b,"Beatles, the",While my guitar gently weeps,,1969,
246,B 32,"Bee Gees, the",Spicks & specks,Disco,1967,
247,B 33,Bee Gees,How deep is your love,Disco,1977,
248,B 34,Bee Gees,Stayin' alive,Disco,1977,
249,B 35,Bee Gees,Night fever,Disco,1977,
250,B 36,Bee Gees,Too much heaven,Disco,1978,
251,B 37,Bee Gees,Tragedy,Disco,1979,
252,B 38,Belle Epoque,Black is black,Disco,1977,
253,B 39,Belle Epoque,Miss Broadway,Disco,1977,
254,B 40 a,Ben Cramer,Veronica Vrij,Nederlands,1973,
255,B 40 b,Ben Cramer,Aan het mooie Noordzeestrand,Nederlands,1973,
256,B 41,Ben Cramer,Winter,Nederlands,1974,
257,B 42,Betty Wright,Shoorah! Shoorah!,Disco,1974,
258,B 43,Bob Marley & the Wailers,"No Woman, no cry (live version)",,1975,
259,B 44,Bill Haley and his Comets,(we're gonna) Rock around the clock,,1956,
260,B 45,Billie Joe Spears,What I've got in mind,,1976,
262,B 46,Billy Ocean,Red light,,1977,
263,B 47,Billy Paul,Thanks for saving my life,Philadelphia sound,1973,
265,B 48 a,Billy Preston,Disco dancin',,1978,
266,B 48 b,Billy Preston,Wide Stride,instrumentaal,1978,
267,B 49,Billy Swan,I can help,,1974,
268,B 50,Billy Swan,I'm her fool,,1975,
269,B 51,Billy Swan,Everything's the same (ain't nothing changed),,1975,
271,B 52 a,Billy Vaughn & Orchestra,Wheels,Instrumentaal,1961,
272,B 52 b,Billy Vaughn & Orchestra,Orange blossom special,Instrumentaal,1961,
273,B 53,Bill Withers,Lovely day,,1977,
274,B 54 a,Bimbo Jet,El Bimbo,Instrumentaal,1974,
275,B 54 b,Bimbo Jet,La Balanga,Instrumentaal,1975,
276,B 55 a,Bing Crosby,White Christmas,Kerst,1942,
277,B 55 b,Bing Crosby,Jingle bells,Kerst,1943,
278,B 56,Bino,Mama Leone,,1979,
279,B 57,Black Blood,A.I.E. (A Mwana),,1975,
280,B 58 a,Black Light Orchestra,L'homme a l'harmonica,Instrumentaal,1977,
281,B 58 b,Black Light Orchestra,Il etait une fois dans lóuest,Instrumentaal,1977,
282,B 59,Black Sabbath,Paranoid,,1970,
283,B 60,Black & White,Love me or leave me,,1977,
284,B 61,Blue Swede,Hooked on a feeling,,1973,
285,B 62,Blondie,Denis,,1978,
286,B 63,Blondie,(I'm always touched by your) Presence Dear,,1978,
287,B 64,Blondie,I'm gonna love you too,,1978,
288,B 65,Blue Diamonds,Marching along with the Blue Diamonds,,1962,
289,B 66,Blue Diamonds,Little ship,,1961,
290,B 67,Blue Diamonds,Itsy bitsy teenie weenie Honululu-strand-bikini,,1961,
291,B 68,Blue Diamonds,Little ship,,1961,
292,B 69,Blue Mink,Our world,,1970,
293,B 70,Bobby Goldsboro,Hello Summertime,,1974,
294,B 71,Bob Moore & his Orchestra,Mexico,Instrumentaal,1962,
295,B 72,Bobby Vinton,Hurt,,1973,
296,B 73,Bob & Marcia,To be young gifted and black,,1970,
297,B 74,Bob Marley & the Wailers,Stir it up,,1979,
298,B 75,Bob Seger,Still the same,,1978,
299,B 76,Boemerang,Tiroler Holzhacker Bub'n,Instrumentaal,1977,
300,B 77,Bojoura,the Letter,,1974,
301,B 78,Bojoura,What is love,,1973,
302,B 79,Bolland & Bolland,"Mexico, I can't say goodbye",,1974,
303,B 80,Bolland & Bolland,Souvenir,,1976,
304,B 81,Bolland & Bolland,The last Apache,,1976,
305,B 82,Bolland & Bolland,Leaving tomorrow,,1973,
306,B 83,Bolland & Bolland,Spaceman,,1978,
307,B 84,Boney M.,"Baby, do you wanna bump",,1975,
308,B 85 a,Boney M.,Daddy Cool,,1976,
309,B 85 b,Boney M.,No woman no cry,,1976,
310,B 86 a,Boney M.,Sunny,,1977,
311,B 86 b,Boney M.,New York City,,1977,
312,B 87,Boney M.,Ma Baker,,1977,
313,B 88,Boney M.,Belfast,,1977,
314,B 89 a,Boney M.,Rivers of Babylon,,1978,
315,B 89 b,Boney M.,Brown girl in the ring,,1978,
316,B 90 a,Boney M.,Rasputin,,1978,
317,B 90 b,Boney M.,Painter Man,,1978,
319,B 91,Boney M.,Mary's boy child / Oh my Lord,Kerst,1978,
320,B 92,Boney M.,Hooray! Hooray! It's s holiday,,1979,
321,B 93,Bonnie St. Claire and Unit Gloria,Clap your hands and stamp your feet,,1972,
322,B 94,Bonnie St. Claire,Mañana Mañana,,1972,
323,B 95,Bonnie St. Claire and Unit Gloria,Voulez-vous,,1974,
324,B 96,Bonnie St. Claire,I won't stand between them,,1970,
325,B 97,Bonnie St. Claire & Ron Brandsteder,Dokter Bernhard,Nederlands,1976,
326,B 98,Bonnie St. Claire,Ik ben gelukkig zonder jou,Nederlands,1976,
327,B 99,Bonnie Tyler,It's a heartache,,1977,
328,B 100 a,Booker T & the MG's,Soul Limbo,Instrumentaal,1968,
329,B 100 b,Booker T & the MG's,Mrs. Robinson,Instrumentaal,1969,
330,B 101,Boston,More than a feeling,,1977,
331,B 102,Boston,Don't look back,,1978,
332,B 103,Bots,Zeven dagen lang,,1976,
333,B 104,Boudewijn de Groot,Jimmy (de eenzame fietser),Nederlands,1973,
334,B 105 a,Boudewijn de Groot,Het land van Maas en Waal,Nederlands,1967,
335,B 105 b,Boudewijn de Groot,Testament,Nederlands,1967,
336,B 106,Boy and the Bo-boys,Basta basta finito,,1978,
337,B 107,Boz Scaggs,What can I say,,1977,
338,B 108,Boz Scaggs,Lido shuffle,,1977,
339,B 109,Bread,Lost without your love,,1976,
340,B 110,Bread,The guitar man,,1972,
341,B 111 a,Bread,If,,1971,
342,B 111 b,Bread,Sweet surrender,,1972,
343,B 112,Breeze,Gypsy woman,,1977,
344,B 113,Breeze,It's only a matter of time,,1977,
345,B 114,"Brighouse and Rastrick brass band, the",The Floral dance,,1976,
346,B 115,Brotherhood of Man,"Kiss me, kiss your baby",,1975,
347,B 116,Brotherhood of Man,Save your kisses for me,Engels Songfestival # 1 Engeland,1976,
348,B 117,Brotherhood of Man,My sweet Rosalie,,1976,
349,B 118,Brotherhood of Man,Oh boy,,1977,
350,B 119,Brotherhood of Man,Angelo,,1977,
351,B 120,Brotherhood of Man,Figaro,,1977,
352,B 121,Bryan Ferry,A hard rain's a-gonna fall,,1973,
353,B 122,Bryan Ferry,Let's stick together,,1976,
354,B 123 a,Bryan Ferry,"The price of love / shame, shame, shame",,1976,
355,B 123 b,Bryan Ferry,Heart on my sleeve / It's only love,,1976,
356,B 124,Bryan Ferry,This is tomorrow,,1977,
357,B 125,B.T. Express,"""Do It"" ('til you're satisfied)",,1975,
358,B 126,"Buffoons, the",My girl Donna,,1973,
359,B 127,BZN,Rolling around the band,,1972,
360,B 128,BZN,Goodbye Sue,,1975,
361,B 129,BZN,Mon amour,,1976,
362,B 130,BZN,Don't say goodbye,,1977,
363,B 131,BZN,Sevilla,,1977,
364,B 132,BZN,The clown,,1977,
365,B 133,BZN,Lady McCorey,,1978,
366,B 134,BZN,Felicidad,,1978,
367,B 135,Billy Ocean,A love really hurts without you,,1975,
368,B 136,Billy J. Williams,Baby let's call it a day,,1976,
369,B 137,Billy Jones & Solat,You're gonna miss me,,1976,
370,B 138,"Bonnie, Ronnie, Ciska, Nico, Willeke, Harmen, Ome Jan",Een heel gelukkig kerstfeest,Kerst,1975,
371,B 139 a,Boney M.,El Lute,,1979,
372,B 139 b,Boney M.,Gotta go home,,1979,
373,B 140,"Buoys, the",Give up your guns,,1972,
374,B 141 a,Boney M.,I'm born again,,1979,
375,B 141 b,Boney M.,Bahama Mama,,1979,
376,B 142,het Börker trio,de Pieteröliekar,,1979,
377,B 143,Babe,the Drunken sailor,,1980,
378,B 144,Booker T & the MG's,Green Onions,Instrumentaal,1962,
379,B 145 b,Bing Crosby,"Silent night, holy night",Kerst,1928,
380,B 146 a,B. J. Thomas,Raindrops keep falling on my head,,1969,
381,B 146 b,B. J. Thomas,I just can't help believing,,1969,
382,B 147,Brotherhood of Man,Papa Louis,,1979,
383,B 148,BZN,Rockin' the trolls,,1980,
384,B 149 a,Barry McGuire,Eve of destruction,,1965,
385,B 149 b,Barry Mann,Who put the bomb,,1961,
386,B 150 a,"Buffoons, the",Sister Theresa,,1968,
387,B 150 b,"Buffoons, the",Sunday will never be the same,,1968,
388,B 151,BTO Bachman-Turner Overdrive,You ain't seen nothin' yet,,1974,
389,B 152 a,Boney M.,Children of Paradise,,1980,
390,B 152 b,Boney M.,Gadda-da-vida,,1980,
391,B 154 b,"Blue Diamonds, the",Little ship,,1961,
392,B 154 a,"Blue Diamonds, the",Ramona,,1961,
393,B 155,Bucks Fizz,Making your mind up,Engels Songfestival # 1 Engeland,1981,
394,B 156,Boney M.,Malaika,,1981,
395,B 157,Bee Gees,He's a liar,,1981,
396,B 158,Babe,Tick-a-thumps my heart,,1981,
397,B 159,BB Band,Stille Willie,,1981,
398,B 160,"Bank, the  (Abba)",Lay all your love on me,,1981,
399,B 161,Boney M.,We kill the world,,1981,
400,B 162,Bee Gees,Living Eyes,,1981,
401,B 163,"Boomtown Rats, the",Never in a million years,,1981,
402,B 165,Barbara Dickson,My heart lies,,1981,
403,B 166,Bloem,"Omdat (parce que, because)",,1982,
404,B 167,Bucks Fizz,The Land of make believe,,1982,
405,B 168,Brooklyn Express,(Spank) Sixty-nine,,1981,
406,B 169,Barry Manilow,Mandy,,1974,
407,B 170,Barbra Streisand,Woman in love,,1980,
408,B 171,Boozy,Angela,,1977,
409,B 172 a,"Beatles, the",Let it be,,1970,
410,B 172 b,"Beatles, the",You know my name (look up my number),,1970,
411,B 173,"Beatles, the","Movie medley (o.a. Magical Mystery Tour, A hard days night e.a.)",,1982,
412,B 174,Bernadette,Sing me a song (songfestival),Songfestival,1983,
413,B 175,Berdien Stenberg,Rondo Russo,Instrumentaal,1983,
414,B 176 a,Boney M.,the Carnaval is over (Good-bye true lover),,1982,
415,B 176 b,Boney M.,Going back west,,1982,
416,B 177,"Brat, the",Chalk Dust - the Umpire strikes Back,,1982,
417,B 178,Bennet & Bee,Take it or leave it,,1982,
418,B 179,Boys Town Gang,Can't take my eyes off you,,1982,
419,B 180,Boys Town Gang,"Signed, sealed, delivered (I'm yours)",,1982,
420,B 181,BZN,Twilight,,1982,
421,B 182,"Buoys, the",Timothy,,1973,
422,B 153,Bennie Bink,Lieve Lilly,,2022,
423,B 183,Badfinger,Come and get it,,1970,
424,B 184,"Blue Diamonds, the",Cathy's clown,,1960,
425,B 185,Bellamy Brothers,Let your love flow,,1976,
426,B 186 a,Bee Gees,Spirits (having flown),,1979,
427,B 186 b,Bee Gees,Wind of change,,1975,
428,B 187,BZN,If I say the words,,1984,
429,B 188 a,Barbra Streisand,People (uit Funny Girl),,1965,
430,B 188 b,Barbra Streisand,I am woman (uit Funny Girl),,1965,
431,B 189 a,Band Aid,Do they know it's Christmas,Kerst,1984,
432,B 189 b,Band Aid,Feed the world,Kerst,1984,
433,B 190 a,"Beatles, the","Hello, Goodbye",,1967,
434,B 190 b,"Beatles, the",I am the walrus,,1967,
435,B 191,Bar-Kays,Soul Finger,Instrumentaal,1967,
436,B 192 a,Bobby Stevens,The lion sleeps tonight (wimoweh),,1962,
437,B 192 b,Rikki Henderson,Let's twist again,,1960,
438,B 193,Boney M.,Kalimba de luna,,1984,
439,B 194 a,Bobbysocks,Let it swing,Songfestival # 1 Noorwegen (Engelse versie),1985,
440,B 195 a,Berdien Stenberg,Deck the halls (with boughs of Holly),Kerst - Instrumentaal,1986,
441,B 195 b,Berdien Stenberg,Hoe leit dit Kindeke / De herdertjes lagen bij nachte,Kerst - Instrumentaal,1986,
