id,number,artist,title,genre,year,artwork_path
7704,Cd 192 2 5,Richard Clayderman,And I love you so,Richard Clayderman: Love and Affection,1991,
7705,Cd 192 2 6,Richard Clayderman,Careless whisper,Richard Clayderman: Love and Affection,1991,
7706,Cd 192 2 7,Richard Clayderman,Mandy,Richard Clayderman: Love and Affection,1991,
7707,Cd 192 2 8,Richard Clayderman,Unchained melody,Richard Clayderman: Love and Affection,1991,
7708,Cd 192 2 9,Richard Clayderman,Hello,Richard Clayderman: Love and Affection,1991,
7709,Cd 192 2 10,Richard Clayderman,All by myself,Richard Clayderman: Love and Affection,1991,
7710,Cd 192 2 11,Richard Clayderman,Without you,Richard Clayderman: Love and Affection,1991,
7711,Cd 192 2 12,Richard Clayderman,The power of love,Richard Clayderman: Love and Affection,1991,
7712,Cd 192 2 13,Richard Clayderman,We've only just begun,Richard Clayderman: Love and Affection,1991,
7713,Cd 192 2 14,Richard Clayderman,L for love (A comme amour),Richard Clayderman: Love and Affection,1991,
7714,Cd 192 3 1,Richard Clayderman,Up where we belong,Richard Clayderman: Stage and Screen,1991,
7715,Cd 192 3 2,Richard Clayderman,Theme from the Thorn Birds,Richard Clayderman: Stage and Screen,1991,
7716,CD 192 3 3,Richard Clayderman,Don't cry for me Argentina,Richard Clayderman: Stage and Screen,1991,
7717,Cd 192 3 4,Richard Clayderman,Bright eyes,Richard Clayderman: Stage and Screen,1991,
7718,Cd 192 3 5,Richard Clayderman,I know Him so well,Richard Clayderman: Stage and Screen,1991,
7719,Cd 192 3 6,Richard Clayderman,Music of the night,Richard Clayderman: Stage and Screen,1991,
7720,Cd 192 3 7,Richard Clayderman,Chariots of fire,Richard Clayderman: Stage and Screen,1991,
7721,Cd 192 3 8,Richard Clayderman,Cavatina (theme from the Deer Hunter,Richard Clayderman: Stage and Screen,1991,
7722,Cd 192 3 9,Richard Clayderman,Do you know where you're going to,Richard Clayderman: Stage and Screen,1991,
7723,Cd 192 3 10,Richard Clayderman,Theme from Love Story,Richard Clayderman: Stage and Screen,1991,
7724,Cd 192 3 11,Richard Clayderman,I dreamed a dream,Richard Clayderman: Stage and Screen,1991,
7725,Cd 192 3 12,Richard Clayderman,Love changes everything,Richard Clayderman: Stage and Screen,1991,
7726,Cd 192 3 13,Richard Clayderman,Elvira Madigan (Mozart concerto No 21),Richard Clayderman: Stage and Screen,1991,
7727,Cd 192 3 14,Richard Clayderman,Hill Street blues,Richard Clayderman: Stage and Screen,1991,
7728,Cd 192 4 1,Richard Clayderman,Moon river,Richard Clayderman: Moonlight magic,1991,
7729,Cd 192 4 2,Richard Clayderman,Love is blue,Richard Clayderman: Moonlight magic,1991,
7730,Cd 192 4 3,Richard Clayderman,Sleep shores,Richard Clayderman: Moonlight magic,1991,
7731,Cd 192 4 4,Richard Clayderman,Clair de Lune,Richard Clayderman: Moonlight magic,1991,
7732,Cd 192 4 5,Richard Clayderman,The shadow of your smile,Richard Clayderman: Moonlight magic,1991,
7733,Cd 192 4 6,Richard Clayderman,Concerto for a young girl,Richard Clayderman: Moonlight magic,1991,
7734,Cd 192 4 7,Richard Clayderman,The sound of silence,Richard Clayderman: Moonlight magic,1991,
7735,Cd 192 4 8,Richard Clayderman,Evergreen (Love theme from A star is born),Richard Clayderman: Moonlight magic,1991,
7736,Cd 192 4 9,Richard Clayderman,Moonlight Sonata,Richard Clayderman: Moonlight magic,1991,
7737,Cd 192 4 10,Richard Clayderman,I have a dream,Richard Clayderman: Moonlight magic,1991,
7738,Cd 192 4 11,Richard Clayderman,The dream of Olwen,Richard Clayderman: Moonlight magic,1991,
7739,CD 192 4 12,Richard Clayderman,Moonlight and roses,Richard Clayderman: Moonlight magic,1991,
7740,Cd 192 4 13,Richard Clayderman,Stardust,Richard Clayderman: Moonlight magic,1991,
7741,CD 192 4 14,Richard Clayderman,Rhapsody in blue,Richard Clayderman: Moonlight magic,1991,
7742,CD 193 1,Orchester Horst Jankowski,A walk in the black forest,Instrumentaal,2022,
7743,CD 193 2,Orchester Horst Jankowski,The windmills of your mind,Instrumentaal,2022,
7744,CD 193 3,Orchester Horst Jankowski,Eleanor Rigby,Instrumentaal,2022,
7745,CD 193 4,Orchester Horst Jankowski,A shadow of Lotus,Instrumentaal,2022,
7746,CD 193 5,Orchester Horst Jankowski,Gentle of my mind,Instrumentaal,2022,
7747,CD 193 6,Orchester Horst Jankowski,Blue spring,Instrumentaal,2022,
7748,CD 193 7,Orchester Horst Jankowski,Jerusalem,Instrumentaal,2022,
7749,CD 193 8,Orchester Horst Jankowski,A bright day's hideaway,Instrumentaal,2022,
7750,CD 193 9,Orchester Horst Jankowski,El Condor Pasa,Instrumentaal,2022,
7751,CD 193 10,Orchester Horst Jankowski,Princess Doll,Instrumentaal,2022,
7752,CD 193 11,Orchester Horst Jankowski,Little lady Butterfly,Instrumentaal,2022,
7753,CD 193 12,Orchester Horst Jankowski,A song of joy,Instrumentaal,2022,
7754,CD 194 1 1,Salon Orkest Da Capo,Ciao Ernesto medley,Instrumentaal,2022,
7755,CD 194 1 2,Salon Orkest Da Capo,Wals-potpourri,Instrumentaal,2022,
7756,CD 194 1 3,Salon Orkest Da Capo,Where thine that special face,Instrumentaal,2022,
7757,CD 194 1 4,Salon Orkest Da Capo,Meditation,Instrumentaal,2022,
7758,CD 194 1 5,Salon Orkest Da Capo,Amsterdamse grachten,Instrumentaal,2022,
7759,CD 194 1 6,Salon Orkest Da Capo,Komm Zigani,Instrumentaal,2022,
7760,CD 194 1 7,Salon Orkest Da Capo,Heinzelmännchens Wachtparade,Instrumentaal,2022,
7761,CD 194 1 8,Salon Orkest Da Capo,Someday my prince will come,Instrumentaal,2022,
7762,CD 194 1 9,Salon Orkest Da Capo,Angel serenade,Instrumentaal,2022,
7763,CD 194 1 10,Salon Orkest Da Capo,Marcia a la Turca (Turkse mars),Instrumentaal,2022,
7764,CD 194 1 11,Salon Orkest Da Capo,Jalousie,Instrumentaal,2022,
7765,CD 194 1 12,Salon Orkest Da Capo,Hongaarse dans No 5,Instrumentaal,2022,
7766,CD 194 1 13,Salon Orkest Da Capo,Second waltz,Instrumentaal,2022,
7767,CD 194 1 14,Salon Orkest Da Capo,Da Capo,Instrumentaal,2022,
7768,CD 194 1 15,Salon Orkest Da Capo,Marcia Mixta,Instrumentaal,2022,
7769,CD 194 1 16,Salon OrkestDa Capo,Pusstafest,Instrumentaal,2022,
7770,CD 194 2 1,Salon Orkest Da Capo,Ballsirenen,Instrumentaal,2022,
7771,CD 194 2 2,Salon Orkest Da Capo,El Choclo,Instrumentaal,2022,
7772,CD 194 2 3,Salon Orkest Da Capo,Lili Marleen,Instrumentaal,2022,
7773,CD 194 2 4,Salon Orkest Da Capo,Ave Maria,Instrumentaal,2022,
7774,CD 194 2 5,Salon Orkest Da Capo,"Das alte, neue Wien",Instrumentaal,2022,
7775,CD 194 2 6,Salon Orkest Da Capo,Viljalied,Instrumentaal,2022,
7776,CD 194 2 7,Salon Orkest Da Capo,Sylvia ballet,Instrumentaal,2022,
7777,CD 194 2 8,Salon Orkest Da Capo,Salut d'amour,Instrumentaal,2022,
7778,CD 194 2 9,Salon Orkest Da Capo,Espana cani,Instrumentaal,2022,
7779,CD 194 2 10,Salon Orkest Da Capo,Summertime,Instrumentaal,2022,
7780,CD 194 2 11,Salon Orkest Da Capo,Czardas,Instrumentaal,2022,
7781,CD 194 2 12,Salon Orkest Da Capo,Serenade Napolitaine,Instrumentaal,2022,
7782,CD 194 2 13,Salon Orkest Da Capo,Serenata,Instrumentaal,2022,
7783,CD 194 2 14,Salon Orkest Da Capo,Stachus polka,Instrumentaal,2022,
7784,CD 194 2 15,Salon Orkest Da Capo,Hongaarse dans No 1,Instrumentaal,2022,
7785,CD 194 2 16,Salon Orkest Da Capo,Petersburger Schlittenfahrt galopp,Instrumentaal,2022,
7786,CD 194 2 17,Salon Orkest Da Capo,Youchka,Instrumentaal,2022,
7787,CD 194 2 18,Salon Orkest Da Capo,Florentiner marsch,Instrumentaal,2022,
7788,CD 195 1,Chayanne,Dejaria Todo,Spaans,1999,
7789,CD 195 2,Chayanne,"Caminando, caminando",Spaans,1999,
7790,CD 195 3,Chayanne,Enamorado,Spaans,1999,
7791,CD 195 4,Chayanne,Atado a tu amor,Spaans,1999,
7792,CD 195 5,Chayanne,Mira ven ven,Spaans,1999,
7793,CD 195 6,Chayanne,Otra vez,Spaans,1999,
7794,CD 195 7,Chayanne,Baila baila,Spaans,1999,
7795,CD 195 8,Chayanne,Refugio de amor,Spaans,1999,
7796,CD 195 9,Chayanne,Salomé,Spaans,1999,
7797,CD 195 10,Chayanne,Pienso en ti,Spaans,1999,
7798,CD 195 11,Chayanne,Nadie como tú,Spaans,1999,
7799,CD 195 12,Chayanne,Guajira,Spaans,1999,
7800,CD 195 13,Chayanne,La playa,Spaans,1999,
7801,CD 195 14,Chayanne,Dejaria Todo,Spaans,1999,
7802,CD 196 1,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Ouverture,"Nederlands, Zwolle, Peperbus",1998,
7803,CD 196 2,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Wij Zwollenaren,"Nederlands, Zwolle, Peperbus",1998,
7804,CD 196 3,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Je moet er mee leren leven,"Nederlands, Zwolle, Peperbus",1998,
7805,CD 196 4,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Wat kost dat nou?,"Nederlands, Zwolle, Peperbus",1998,
7806,CD 196 5,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",De oude ZAC-revue,"Nederlands, Zwolle, Peperbus",1998,
7807,CD 196 6,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Toen ik eens op een dag .....,"Nederlands, Zwolle, Peperbus",1998,
7808,CD 196 7,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Skup die balle,"Nederlands, Zwolle, Peperbus",1998,
7809,CD 196 8,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Het oude Zwols,"Nederlands, Zwolle, Peperbus",1998,
7810,,,,,0,
7811,CD 196 9,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Ieder zijn eigen taal,"Nederlands, Zwolle, Peperbus",1998,
7812,CD 196 10,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Lekker slapen in Zwolle,"Nederlands, Zwolle, Peperbus",1998,
7813,CD 196 11,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Heeft een Blauwvinger ooit iets geweldigs gedaan?,"Nederlands, Zwolle, Peperbus",1998,
7814,CD 196 12,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Weet je nog schat?,"Nederlands, Zwolle, Peperbus",1998,
7815,CD 196 13,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Met de pantoffel,"Nederlands, Zwolle, Peperbus",1998,
7816,CD 196 14,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Zwolle hoeft niet groter,"Nederlands, Zwolle, Peperbus",1998,
7817,CD 196 15,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Boerenkroegen,"Nederlands, Zwolle, Peperbus",1998,
7818,CD 196 16,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen","Pelikaan, gezellig café","Nederlands, Zwolle, Peperbus",1998,
7819,CD 196 17,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Koetic,"Nederlands, Zwolle, Peperbus",1998,
7820,CD 196 18,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Verleden tijd,"Nederlands, Zwolle, Peperbus",1998,
7821,CD 196 19,"Combo Henk Gunneman, Anton Roelofs, Erik Raayman, Jan ter Maat & diversen",Een kwartje is geen kwertien,"Nederlands, Zwolle, Peperbus",1998,
7822,CD 197 1,Muppetstuff,Vandaag,"Nederlands, Zwolle",1997,
7823,CD 197 2,Muppetstuff,Hoe dan,"Nederlands, Zwolle",1997,
7824,CD 197 3,Muppetstuff,Nu even niet,"Nederlands, Zwolle",1997,
7825,CD 197 4,Muppetstuff,Alsof er niets is gebeurd,"Nederlands, Zwolle",1997,
7826,CD 198 1,Zware Jongens,"Voetbal Anton, Holland is de kampioen","Nederlands, voetbal",2022,
7827,CD 198 2,Zware Jongens,"Nederland, Nederland, Olé (Hulzebosch, Hulzebosch)","Nederlands, voetbal",2022,
7828,CD 198 3,Zware Jongens,Anton aus Tirol (orginele uitvoering),"Nederlands, voetbal",2022,
7829,CD 198 4,Zware Jongens,Dom pie dom,"Nederlands, voetbal",2022,
7830,CD 199 1 1,Marty Paich  (piano) & koor,"Up, up and away",,1967,
7831,CD 199 1 2,Jane McDonald,Do you know the way to San Jose,,1998,
7832,CD 199 1 3,Christian Colombier & zijn orkest,Afrikaan beat,Instrumentaal,1986,
7833,CD 199 1 4,Tony Alessi,Tiritomba,,1999,
7834,CD 199 1 5,Soeur Marie,Dominique,,2002,
7835,CD 199 1 6,Jo Lemaire,Plus bleu que tes yeux,,2003,
7836,CD 199 1 7,Floyd Cramer (piano) & orkest,On the rebound,Instrumentaal,1997,
7837,CD 199 1 8,Engelbert Humperdinck,The more I see you,,1997,
7838,CD 199 1 9,Petula Clark,Don't sleep in the subway,Dirk,1967,
7839,CD 199 1 10,Chris Andrews,Pretty Belinda,,1969,
7840,CD 199 1 11,Osibisa,The coffee song,,1976,
7841,CD 199 1 12,Demis Roussos,Una Paloma blanca,,1995,
7842,CD 199 1 13,Buddy Kenneth & zijn orkest,The ketchup song (Asereje),Instrumentaal,2003,
7843,CD 199 1 14,Sisina Lugares,Y viva España,,2001,
7844,CD 199 1 15,Berdien Stenberg (fluit) & orkest,Disneyland medley,Instrumentaal,1995,
7845,CD 199 1 16,Bruce Johnston & the Royal Philharmonic orchestra,Disney girls,,1998,
7846,CD 199 1 17,Jan & Dean,The little old lady (from Pasadena),,1964,
7847,CD 199 1 18,Trini Lopez,Lemon tree,,1980,
7848,CD 199 1 19,Billy Vaughn & zijn orkest,A swingin' safari,Instrumentaal,1988,
7849,CD 199 1 20,José Feliciano,California dreamin',,1994,
7850,CD 199 1 21,Roger Miller,King of the road,,1965,
7851,CD 199 1 22,Wayne Moss (gitaar) & orkest,Wheels,Instrumentaal,1969,
7852,CD 199 1 23,"Mike Sammes singers, the",Trains and boats and planes,,1978,
7853,CD 199 2 1,Glen Campbell,What a wonderful world,,1999,
7854,CD 199 2 2,Petula Clark,It's magic,,1996,
7855,CD 199 2 3,Wendy Quinlan (fluit)m& Fred van Lieff (viool) & Ralph Benatar & zijn orkest,Bloemendaalse bos,Instrumentaal,2003,
7856,CD 199 2 4,Tommy Steele,Wonderful Copenhagen,,1974,
7857,CD 199 2 5,Vince Hill,Roses of Picardy,,1997,
7858,CD 199 2 6,Dusty Springfield,Sea and sky,,1970,
7859,CD 199 2 7,Sacha Distel,La belle vie,,1963,
7860,CD 199 2 8,Tony Alessi,O Sole mio,,2000,
7861,CD 199 2 9,Paul Mauriat & orkest,Love is blue,Instrumentaal,2000,
7862,CD 199 2 10,Maureen McGovern,My favourite things,,2000,
7863,CD 199 2 11,Ralph McTell,Girl on a bicycle,,1969,
7864,CD 199 2 12,Samantha Jones,If I only had time,,2022,
7865,CD 199 2 13,Vic Damone,A dreamer's holiday,,1967,
7866,CD 199 2 14,Anastasia,Ximeroni,,1995,
7867,CD 199 2 15,Yannis Papadikis & orkest,Acropolis adieu,Instrumentaal,1992,
7868,CD 199 2 16,Sandra Alessi,Alegria,,2002,
7869,CD 199 2 17,Kenny Rogers,You light up my life,,1996,
7870,CD 199 2 18,Astrud Gilberto & chet baker,Far away,,2022,
7871,CD 199 2 19,Caravelli & orkest,"Capri, c'est fini",Instrumentaal,2002,
7872,CD 199 2 20,Des O'Connor,Spanish eyes,,1985,
7873,CD 199 2 21,Rita Coolidge,For the good times,,2022,
7874,CD 199 2 22,Jane McDonald,You're my world,,1998,
7875,CD 199 3 1,Floyd Cramer (piano) & orkest,The long and winding road,Instrumentaal,1997,
7876,CD 199 3 2,Francis Goya (gitaar) & orkest,La playa,Instrumentaal,1994,
7877,CD 199 3 3,Pietro Lacirignola (klarinet) & orkest,Het Dorp,Instrumentaal,2003,
7878,CD 199 3 4,David Firman & orkest,Spiegelbeeld,Instrumentaal,1994,
7879,CD 199 3 5,Caravelli & orkest,Somethin' stupid,Instrumentaal,2002,
7880,CD 199 3 6,Wendy Quinlan (fluit) & orkest,Thank you,Instrumentaal,2002,
7881,CD 199 3 7,Damian Luca (panfluit) & orkest,Ode aan Maastricht,Instrumentaal,1998,
7882,CD 199 3 8,Johnny Pearson & orkest,Sorry seems to be the hardest word,Instrumentaal,2022,
7883,CD 199 3 9,Herman Schoonderwalt (saxofoon) & orkest,Just when I needed you most,Instrumentaal,1999,
7884,CD 199 3 10,Chris Hinze (fluit) & orkest,How insensitive,Instrumentaal,1977,
7885,CD 199 3 11,Henry Mancini (piano) & orkest,Baby elephant walk,Instrumentaal,1981,
7886,CD 199 3 12,Gheorghe Zamfir (panfluit) & orkest,The French waltz,Instrumentaal,2000,
7887,CD 199 3 13,Alain Morisod & orkest,Et les oiseaux chantaient,Instrumentaal,1993,
7888,CD 199 3 14,Fausto Papetti,You are not alone,Instrumentaal,2022,
7889,CD 199 3 15,Francis Goya (gitaar) & orkest,Hero,Instrumentaal,2002,
7890,CD 199 3 16,Damian Luca (panfluit) & orkest,Fee,Instrumentaal,2003,
7891,CD 199 3 17,Ricky King (gitaar) & orkest,Scarborough fair,Instrumentaal,1990,
7892,CD 199 3 18,Pietro Lacirignola (saxofoon) & orkest,Zet een kaars voor je raam,Instrumentaal,1997,
7893,CD 199 3 19,Acker Blik (klarinet) & orkest,I left my heart in San Francisco,Instrumentaal,1984,
7894,CD 199 3 20,Francis Goya (gitaar) & orkest,Vaya con dios,Instrumentaal,1994,
7895,CD 199 4 1,Henry Mancini (piano) & orkest,I'm always chasing rainbows,Instrumentaal,1981,
7896,CD 199 4 2,Berdien Stenberg (fluit) & orkest,Italian dance,Instrumentaal,2022,
7897,CD 199 4 3,Louis van Dijk (piano) & Chris Hinze & orkest,Largo di Vivaldi,Instrumentaal,1982,
7898,CD 199 4 4,Richard Abel (piano) & orkest,Lago di Como (Lake Como),Instrumentaal,1996,
7899,CD 199 4 5,Francis Goya (gitaar) & orkest,The garden's delights,Instrumentaal,2002,
7900,CD 199 4 6,José Carreras,Princesita,Instrumentaal,1980,
7901,CD 199 4 7,Acker Blik (klarinet) & orkest,Bachianas Brasileiras,Instrumentaal,1974,
7902,CD 199 4 8,"Rochester Pops, the",Sandpaper ballet,Instrumentaal,2022,
7903,CD 199 4 9,Damian Luca (panfluit) & Michel Stockem (orgel),Solveig's song,Instrumentaal,1999,
7904,CD 199 4 10,Dieter Schnerring,Im prater bluh'n wieder die Bäume,Duits,1994,
7905,CD 199 4 11,National Philharmonic Orchestra,Mei Muatterl war a Weanerin,Duits,1990,
7906,CD 199 4 12,Ivo Dobrev (viool) & Kuno Schmid & orkest,Liebestraum,Instrumentaal,2002,
7907,CD 199 4 13,Francis Goya (gitaar) & Marinho Martins & orkest,You belong to my heart,Instrumentaal,2002,
7908,CD 199 4 14,"Chris Hinze Combination, the",Roman Frescoes,Instrumentaal,1972,
7909,CD 199 4 15,Henry Mancini (piano) & orkest,A time for us,Instrumentaal,1981,
7910,CD 199 4 16,Pierre Belmondo (panfluit) & orkest,Concierto de Aranjuez,Instrumentaal,1980,
7911,CD 199 4 17,Ricci Ferra & orkest,Geschichten aus dem Wiener wald,Instrumentaal,2022,
7912,CD 199 4 18,Charles Gerhardt & orkest,Jamaican rumba,Instrumentaal,1983,
7913,CD 199 4 19,"Romantic Strings Orchestra, the",Holiday for strings,Instrumentaal,1983,
7914,CD 199 4 20,Carlo Bergonzi,Torna a surriento,Italiaans,1972,
7915,CD 199 4 21,Berdien Stenberg (fluit) & orkest,A whole new world,Instrumentaal,1995,
7916,CD 199 5 1,National Philharmonic Orchestra,Das Wandern ist des Müller's lust (The miller song),Instrumentaal,1994,
7917,CD 199 5 2,Sinfonia of London,Swedish rhapsody,Instrumentaal,1995,
7918,CD 199 5 3,Sinfonia of London,De Moldau,Instrumentaal,1995,
7919,CD 199 5 4,Philharmonic Symphony of London,Largo uit Nieuwe Wereld symfonie,Instrumentaal,1995,
7920,CD 199 5 5,London Promenade orchestra,In a Persian market,Instrumentaal,1981,
7921,CD 199 5 6,National Philharmonic orchestra,Russische mars,Instrumentaal,1992,
7922,CD 199 5 7,London Promenade orchestra,Tambourin Chinois,Instrumentaal,1986,
7923,CD 199 5 8,Walter Boeykens (klarinet) & The Philharmonic,Klarinet concert 'Out of Africa',Instrumentaal,1973,
7924,CD 199 5 9,Christian Steiner (piano) & orkest,Der Nussbaum (The Chestnut tree),Instrumentaal,1969,
7925,CD 199 5 10,Franck Pourcel & orkest,Roses from the south,Instrumentaal,1990,
7926,CD 199 5 11,Ricci Ferra & orkest,Recuerdos de la Alhambra,Instrumentaal,1988,
7927,CD 199 5 12,Paul Mauriat & orkest,Grande valse brillante,Instrumentaal,1997,
7928,CD 199 5 13,Berdien Stenberg (fluit) & orkest,Rondo alla Turca,Instrumentaal,2022,
7929,CD 199 5 14,Ricci Ferra & orkest,Hongaarse dans No 4,Instrumentaal,1982,
7930,CD 199 5 15,Damian Luca (panfluit) & Michel Stockem (orgel),Humoresque,Instrumentaal,1999,
7931,CD 199 5 16,Paul Mauriat & orkest,Intermezzo uit Carmen,Instrumentaal,1997,
7932,CD 199 5 17,Franck Pourcel & orkest,Obertas Mazurka,Instrumentaal,1992,
7933,CD 199 5 18,Berdien Stenberg (fluit) & orkest,Danzas Espagnolas,Instrumentaal,2022,
7934,CD 199 5 19,Francis Goya (gitaar) & orkest,Valdemosa nights,Instrumentaal,2001,
7935,CD 200 1 1,Era,Ameno (Remix),"Celtic, Irish",1996,
7936,CD 200 1 2,Hans Zimmer & Lisa Gerrard,Now we are free,"Celtic, Irish Film The Gladiator",2000,
7937,CD 200 1 3,Secret Garden,Nocturne,"Celtic, Irish",1995,
7938,CD 200 1 4,Massini,Mystera,"Celtic, Irish",2001,
7939,CD 200 1 5,Sarah Brightman,La Mer,"Celtic, Irish",1993,
7940,CD 200 1 6,Corciolli,Lumen Naturae,"Celtic, Irish",1997,
7941,CD 200 1 7,Rojas,Confrontacion,"Celtic, Irish",1998,
7942,CD 200 1 8,Tounkara,Marta's song,"Celtic, Irish",2001,
7943,CD 200 1 9,Mystic Rhythms,Shamanic tree of wolds,"Celtic, Irish",1998,
7944,CD 200 1 10,Romana,Mystical Monastry,"Celtic, Irish",2001,
7945,CD 200 1 11,Emerald singers,Alegria,"Celtic, Irish",2001,
7946,CD 200 1 12,Tranceparence,Hibernaculum,"Celtic, Irish",2001,
7947,CD 200 1 13,Jon & Vangelis,Italian song,"Celtic, Irish",1983,
7948,CD 200 1 14,Armada,Only you,"Celtic, Irish",2001,
7949,CD 200 1 15,Michael Flatleys Lord of the dance,Our wedding,"Celtic, Irish Lord of the dance",1996,
7950,CD 200 1 16,Kelly family,Who'll come with me (David's song),"Celtic, Irish",1979,
7951,CD 200 2 1,Corciolli,Graduale,"Celtic, Irish",1997,
7952,CD 200 2 2,Romana,Syllabic Antiphons,"Celtic, Irish",2001,
7953,CD 200 2 3,Henri Seroka & Ralph Benatar,Beyond Infinity,"Celtic, Irish",1997,
7954,CD 200 2 4,Era,Avemano,"Celtic, Irish",1996,
7955,CD 200 2 5,Emerald singers,Adiemus,"Celtic, Irish",2001,
7956,CD 200 2 6,Mary McDowell,Only time,"Celtic, Irish",2001,
7957,CD 200 2 7,Celtic Spirit,Riverdance,"Celtic, Irish",1998,
7958,CD 200 2 8,Vangelis,La petite fille de la mer,"Celtic, Irish",1973,
7959,CD 200 2 9,Cecil Harding,Callas went away,"Celtic, Irish",1995,
7960,CD 200 2 10,Army of lovers,Obsession,"Celtic, Irish",1991,
7961,CD 200 2 11,Tacoa,Weather storm,"Celtic, Irish",2001,
7962,CD 200 2 12,Tounkara,Sweet lullaby,"Celtic, Irish",2001,
7963,CD 200 2 13,Tranceparence,Beyond the invisible,"Celtic, Irish",2001,
7964,CD 200 2 14,Ambient Natives,The sacred ones,"Celtic, Irish",1997,
7965,CD 200 2 15,Rojas,Amor es tierra,"Celtic, Irish",1998,
7966,CD 200 2 16,Henri Seroka,Last temple,"Celtic, Irish",1995,
7967,CD 201 1,Donna Summer,I feel love,,1977,
7968,CD 201 2,Donna Summer,Mac Arthur park,,1978,
7969,CD 201 3,Donna Summer,Hot stuff,,1979,
7970,CD 201 4,Donna Summer,The wanderer,,1980,
7971,CD 201 5,Donna Summer,Love's unkind,,1978,
7972,CD 201 6,Donna Summer,On the radio,,1980,
7973,CD 201 7,Donna Summer,State of Independence,,1982,
7974,CD 201 8,Donna Summer,Breakaway,,1989,
7975,CD 201 9,Donna Summer,Love is in control (finger on the trigger),,1982,
7976,CD 201 10,Donna Summer,Dinner with Gershwin,,1987,
7977,CD 201 11,Donna Summer,I don't wanna get hurt,,1989,
7978,CD 201 12,Donna Summer,This time I know it's for real,,1989,
7979,CD 202 1,Carpenters,Yesterday once more (remix),,1973,
7980,CD 202 2,Carpenters,Superstar (remix),,1971,
7981,CD 202 3,Carpenters,Rainy days and mondays (remix),,1971,
7982,CD 202 4,Carpenters,Top of the world (single mix),,1972,
7983,CD 202 5,Carpenters,Ticket to ride,,1969,
7984,CD 202 6,Carpenters,Goodbye to love (remix),,1972,
7985,CD 202 7,Carpenters,This masquerade,,1973,
7986,CD 202 8,Carpenters,Hurting each other,,1972,
7987,CD 202 9,Carpenters,Solitaire,,1975,
7988,CD 202 10,Carpenters,We've only just begun (remix),,1970,
7989,CD 202 11,Carpenters,Those good old dreams,,1981,
7990,CD 202 12,Carpenters,Please Mr Postman,,1974,
7991,CD 202 13,Carpenters,I won't last a day without you,,1972,
7992,CD 202 14,Carpenters,Touch me when we're dancing,,1981,
7993,CD 202 15,Carpenters,Jambalaya (on the bayou),,1973,
7994,CD 202 16,Carpenters,For all we know,Film Lovers and other strangers,1971,
7995,CD 202 17,Carpenters,All you get from love is a love song,,1977,
7996,CD 202 18,Carpenters,(They long to be) Close to you,,1970,
7997,CD 202 19,Carpenters,Only yesterday,,1975,
7998,CD 202 20,Carpenters,Calling occupants of interplanetary craft (the recognised anthem of world contact day) (remix),,1977,
7999,CD 203 1,Middle of the road,Chirpy chirpy cheep cheep,,1973,
8000,CD 203 2,Middle of the road,Sacramento (a wonderful town),,1973,
8001,CD 203 3,Middle of the road,Samson & Delilah,,1973,
8002,CD 203 4,Middle of the road,Bottoms up,,1973,
8003,CD 203 5,Middle of the road,I can't tell the bottom from the top,,1970,
8004,CD 203 6,Middle of the road,Yellow boomerang,,1973,
8005,CD 203 7,Middle of the road,Rockin' soul,,1974,
8006,CD 203 8,Middle of the road,"Tweedle Dee, Tweedle Dum",,1973,
8007,CD 203 9,Middle of the road,Soley soley,,1973,
8008,CD 203 10,Middle of the road,Kailakee kailakoo,,1973,
8009,CD 203 11,Middle of the road,Yellow river,,1970,
8010,CD 203 12,Middle of the road,Bonjour Ça va,,1974,
8011,CD 203 13,Middle of the road,Samba d'amour,,1973,
8012,CD 203 14,Middle of the road,The talk of all the USA,,1973,
8013,CD 203 15,Middle of the road,Honey no,,1973,
